ID;Type;Time;Symbol;Comment;Amount
3001;Depunere;01.01.2024 10:00:00;;Deposit;10000
3002;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:05:00;AAPL.US;OPEN BUY 10 @ 150.00;-1500.0
3003;Dividend;15.01.2024 13:00:00;AAPL.US;AAPL.US USD 0.22/ SHR;2.2
3004;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:10:00;TSLA.US;OPEN BUY 5 @ 250.00;-1250.0
3005;Dividend;15.01.2024 13:00:00;TSLA.US;TSLA.US USD 0.15/ SHR;0.75
3006;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:15:00;AMZN.US;OPEN BUY 2 @ 3000.00;-6000.0
3007;Dividend;15.01.2024 13:00:00;AMZN.US;AMZN.US USD 0.10/ SHR;0.2
3008;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:20:00;GOOGL.US;OPEN BUY 5 @ 2800.00;-14000.0
3009;Dividend;15.01.2024 13:00:00;GOOGL.US;GOOGL.US USD 0.20/ SHR;1.0
3010;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:25:00;MSFT.US;OPEN BUY 10 @ 300.00;-3000.0
3011;Dividend;15.01.2024 13:00:00;MSFT.US;MSFT.US USD 0.75/ SHR;7.5
3012;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:30:00;NVDA.US;OPEN BUY 5 @ 500.00;-2500.0
3013;Dividend;15.01.2024 13:00:00;NVDA.US;NVDA.US USD 0.50/ SHR;2.5
3014;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:35:00;INTC.US;OPEN BUY 20 @ 50.00;-1000.0
3015;Dividend;15.01.2024 13:00:00;INTC.US;INTC.US USD 0.25/ SHR;5.0
3016;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:40:00;NFLX.US;OPEN BUY 5 @ 400.00;-2000.0
3017;Dividend;15.01.2024 13:00:00;NFLX.US;NFLX.US USD 0.30/ SHR;1.5
3018;Cumpărare Acțiuni/ETF-uri;01.01.2024 10:45:00;META.US;OPEN BUY 5 @ 350.00;-1750.0
3019;Dividend;15.01.2024 13:00:00;META.US;META.US USD 0.40/ SHR;2.0
