ID;Type;Time;Symbol;Comment;Amount
636812650;Dividend;15.10.2024 13:01:17;O.US;O.US USD 0.2635/ SHR;2.37
616308437;Dividend;13.09.2024 13:00:42;O.US;O.US USD 0.2630/ SHR;1.84
599734469;Dividend;15.08.2024 13:00:35;O.US;O.US USD 0.2630/ SHR;1.84
580249973;Dividend;15.07.2024 13:01:00;O.US;O.US USD 0.2630/ SHR;4.21
564475780;Dividend;14.06.2024 13:01:18;O.US;O.US USD 0.2625/ SHR;11.81
548158395;Dividend;15.05.2024 13:00:36;O.US;O.US USD 0.2570/ SHR;2.31
531840429;Dividend;15.04.2024 13:00:48;O.US;O.US USD 0.2570/ SHR;2.31
516410979;Dividend;15.03.2024 13:00:48;O.US;O.US USD 0.2565/ SHR;2.31
502121285;Dividend;15.02.2024 13:00:24;O.US;O.US USD 0.2565/ SHR;1.8
486764243;Dividend;12.01.2024 13:00:32;O.US;O.US USD 0.2565/ SHR;2.31
475817089;Dividend;15.12.2023 13:01:18;O.US;O.US USD 0.2560/ SHR;2.3
463612356;Dividend;15.11.2023 13:00:26;O.US;O.US USD 0.2560/ SHR;1.79
450626814;Dividend;13.10.2023 13:00:23;O.US;O.US USD 0.2560/ SHR;2.3
439651949;Dividend;15.09.2023 13:00:33;O.US;O.US USD 0.2555/ SHR;4.09
427813053;Dividend;15.08.2023 13:00:16;O.US;O.US USD 0.2555/ SHR;4.09
415944668;Dividend;14.07.2023 13:00:22;O.US;O.US USD 0.2555/ SHR;1.79
404709806;Dividend;15.06.2023 13:00:37;O.US;O.US USD 0.2550/ SHR;2.3
391955053;Dividend;15.05.2023 13:00:21;O.US;O.US USD 0.2550/ SHR;2.3
380368469;Dividend;14.04.2023 13:00:12;O.US;O.US USD 0.2550/ SHR;2.3
367932405;Dividend;15.03.2023 13:00:10;O.US;O.US USD 0.2545/ SHR;2.29
